,prompt,sentence
0,0,"Montreal has a unique bagel tradition that dates back to the mid-nineteenth century. In the early days of the morning, tourists would arrive in Montreal in large numbers for a morning sandwich and coffee. You could be guaranteed to find several dozen different varieties in a pastry case. When the ""Cappuccino"" was introduced in 1894, the bagels came with it. You had to order your espresso and and your bagel separately."
5,0,"Montreal has a unique bagel tradition that dates back to 1766, when an Englishman named J.D. Bagel opened the first of what would become five bakeries. Today, there are more than 70 Bagel East St. Laurent and 15 Bagel Central St. Laurent. It's not just the flavors of bagels that separate Montreal bagel restaurants from the rest of Canada. What also sets them apart are the quality ingredients."
46,0,"Montreal has a unique bagel tradition that dates back to 1876, when the city hosted the Olympic Games. The tradition is still alive today. Because the bagel is such an American food, you won't find bagels being served in many Chinese restaurants, as French food in France is considered food that originated from the Americas. Desserts Although bagels have many tastes, you don't need to try every flavor to enjoy bagel ice cream or bagel sandwiches."
31,0,"Montreal has a unique bagel tradition that dates back to 1917. In 2017, the Bagel Corner will open its doors again to celebrate Montreal's unique bagel heritage. This May, the Bagel Corner will offer a variety of bagels, bagel sandwiches and doughnuts, sold in Montreal and Montreal-area food trucks. With bags of fresh fruit, grapes, pickled veggies and other delicious bagels, this year's sale will be a great opportunity to indulge your taste buds."
13,0,Montreal has a unique bagel tradition that dates back to the early 1900's. The bagels that we now associate with Montreal are greatly influenced by the place that spawned them the Sea Route Bagel. This famous bagel began its long journey to Montreal with a group of Jewish immigrants arriving from Eastern Europe in the early 1900's. To say that they were fortunate would be an understatement.
103,101,"The human body is an ecosystem. We are home to an ever-changing spectrum of life forms, plants, insects, and animals that we have never had any idea existed. Are they the rarest of all animals? Are they the prettiest? The tastiest? The most intelligent? Do they outnumber us? I was curious, so I decided to get a first-hand look at them. The project was supposed to last a year but turned into five. In the end, I went to 54 locations in Texas. I photographed them: animals, humans, homes, landscape, fields, and park."
65,101,"The human body is an ecosystem. We are home to more than 200 trillion microorganisms, ranging from bacteria to viruses, which collectively compose our bodies and our environment. The human microbiome is comprised of more than 100 trillion microbes, just as there are 100 trillion different cells in a human body. It is critical that we understand the impact these microbes have on the human body. Because these microbes live in the skin, hair, and in other body sites, they can be part of the medical history of countless patients."
102,101,"The human body is an ecosystem. We are home to thousands of bacterial species, nearly 40,000 other insect species, 10,000 or more vertebrate species, and billions of microscopic animals called zoophilic protists. Some of these critters are symbiotic with us, meaning they eat our food, and some of them are carnivorous. We even have ""crabs"", a type of shrimp that can survive for up to eight months on land without eating. If we want a long-term grasp of the planet's health, we need to understand all the tiny organisms living on and within us."
101,101,"The human body is an ecosystem. We are home to life, air, water, food, chemicals, pathogens, and countless others. It's a complex organism. Where a parasite, drug, or disease wreaks havoc, we'd better act quickly and attack from every angle, because if we don't then, they do. To function well, the human body needs to be capable of responding quickly to any threat. But we also have a limited amount of resources to do so, and the human body, like any other living thing, needs to replenish itself in the normal course of its evolution."
71,101,"The human body is an ecosystem. We are home to trillions of microbes living on our skin and inside our bodies. How you choose to spend your time may make a big difference in how well your microbiome performs and interacts with your other microbes. A Complex Metaphor: ""Now I Know"" Which leads to my next ""now I know"" about my microbiome. It is my wisdom to the research of my microbiome that I offer to you. Let's face it. Your microbiome has never been a subject that anybody has taken seriously."
161,202,"The Tang Dynasty started ruling in 618 A.D. Scholars generally agree that China was ruled by the Tang Dynasty from 618 to 907. To see the early details of the Tang Dynasty, please click here. What the early Han government (735-221 B.C.) has shown us is that by the time of the first Han Emperor, the political and ideological foundations of the so-called Modern (modern world of today) were laid. The first emperor and the last were both scions of the Tang Dynasty."
142,202,"The Tang Dynasty started ruling in 618 A.D. Scholars generally recognize the Qing Dynasty as a sovereign state as its founding emperor was a male. China is divided into six regions. The Tang also controlled the most of the Korean peninsula including its capital of Seoul. There are currently 16 border provinces in China. It is said that the Ch'ing Dynasty, a family of emperors, first originated in China as the Sogdian tribes who resisted the spread of Buddhism."
145,202,"The Tang Dynasty started ruling in 618 A.D. Scholars generally believed that the Meiji restoration was a Chinese conquest of China. After all, the Chinese could not possibly establish their rule in an area as large as Manchuria without the assistance of Russia or some other Chinese ally. It is therefore easy to imagine why the rumors about the Tang Dynasty establishing a Chinese puppet state were so widespread. Did the Qing Dynasty introduce modern mercantile capitalism to China?"
